k5,entropy,total,n,stress,bb,workout
1782417000000,1.0265731410063872,182,1,59.0,74.0,False
1782460200000,0.17098452405745132,11744,10,34.0,92.0,False
1782460500000,0.02365353716179402,9887,10,42.0,92.0,False
1782460800000,0.055937679010596805,9776,10,48.0,91.0,False
1782461100000,0.03172814370048954,11657,10,46.0,90.0,False
1782461400000,0.0535174258826959,8285,10,57.0,89.0,False
1782461700000,0.0640441033520122,11173,10,54.0,88.0,False
1782462000000,0.0471847929453941,9674,10,54.0,87.0,False
1782462300000,0.05320081049480124,5470,10,46.0,87.0,False
1782466200000,0.8675251988914517,1699,7,28.0,81.0,False
1782466500000,0.9625864644853739,3096,7,29.0,80.0,False
1782466800000,0.5909009690407188,4158,10,28.0,80.0,False
1782467100000,0.8401019508959688,6517,10,28.0,80.0,False
1782467400000,0.5607017048314888,5417,9,26.0,79.0,False
1782467700000,0.7211102493144457,5347,10,25.0,79.0,False
1782468000000,0.6713258627683825,5784,10,27.0,78.0,False
1782469500000,0.5279543190372145,192,1,31.0,75.0,False
1782469800000,0.8979867492046095,7251,10,34.0,75.0,False
1782470100000,0.0,116,1,47.0,74.0,False
1782470700000,0.5164094167439003,906,2,83.0,73.0,False
1782471000000,0.6027002493760872,859,6,96.0,72.0,False
1782474900000,0.8369606217992422,2191,6,54.0,65.0,False
1782475200000,0.687710787436122,5159,10,44.0,65.0,False
1782475500000,0.04417276235037683,6503,8,62.0,64.0,False
1782475800000,0.2531350638835391,5580,9,71.0,63.0,False
1782476100000,1.1862065634937893,4649,10,56.0,63.0,False
1782476400000,0.8925150447650904,5481,10,56.0,62.0,False
1782476700000,0.7029332369673028,4044,10,57.0,62.0,False
1782477000000,0.9933900585980332,6232,10,48.0,62.0,False
1782477300000,0.9913424633753068,6203,10,52.0,61.0,False
1782477600000,0.7846536536529232,6146,10,47.0,60.0,False
1782477900000,0.5551613651704301,4755,10,56.0,60.0,False
1782478200000,0.57123950523303,4757,10,54.0,59.0,False
1782478500000,0.9895779971603279,4012,10,42.0,59.0,False
1782478800000,0.7229029477527749,4221,10,48.0,58.0,False
1782479100000,0.722031160154128,4341,10,48.0,58.0,False
1782479400000,0.8477292793987831,7409,10,34.0,58.0,False
1782479700000,1.2745089224485047,5845,10,46.0,57.0,False
1782480000000,0.6156693370826987,2519,9,40.0,57.0,False
1782480300000,0.5828942259869948,6519,10,39.0,57.0,False
1782480600000,0.43591247049188225,8787,10,34.0,57.0,False
1782480900000,0.14545710752807095,6752,9,45.0,56.0,False
1782481200000,0.6482143526367679,5822,10,27.0,55.0,False
1782481500000,0.7924204168764989,4787,10,36.0,55.0,False
1782481800000,0.8739999208835763,4126,10,37.0,55.0,False
1782482100000,0.6288794760417799,2893,7,24.0,55.0,False
1782482400000,0.6379781731965876,3486,8,30.0,55.0,False
1782482700000,0.7184647383528152,5134,9,36.0,55.0,False
1782483000000,0.6097658736460988,3807,9,40.0,54.0,False
1782483300000,0.4186215700481471,10128,10,34.0,54.0,False
1782483600000,0.7369806337276016,4074,10,40.0,54.0,False
1782483900000,0.5199840965616583,5329,10,70.0,53.0,False
1782484200000,0.6572942298867506,3783,10,84.0,52.0,False
1782484500000,0.5167728427699727,5173,10,86.0,52.0,False
1782484800000,0.6308011655458696,8330,10,79.0,51.0,False
1782485100000,0.9357941446937851,5433,10,84.0,50.0,False
1782485400000,0.5475325693448625,4660,10,76.0,50.0,False
1782486000000,0.4524803162316036,1906,9,70.0,48.0,False
1782486300000,0.5393760763706278,5461,10,62.0,48.0,False
1782486600000,0.696460395884058,9414,10,58.0,47.0,False
1782486900000,1.0375184466259422,5965,10,50.0,47.0,False
1782487200000,0.3968823305416413,3969,9,50.0,47.0,False
1782487500000,1.086788662509552,8940,10,58.0,46.0,False
1782487800000,0.8464025978342997,6531,9,46.0,46.0,False
1782488100000,0.9206712370050345,7519,10,50.0,46.0,False
1782488700000,0.06535218498739753,1028,4,40.0,44.0,False
1782489000000,0.211754673274688,521,3,57.0,44.0,False
1782489600000,0.08847397634419749,179,1,52.0,43.0,False
1782489900000,0.31196385718599734,1223,3,34.0,43.0,False
1782491400000,0.043715142836770596,11225,10,48.0,42.0,False
1782491700000,0.044479965909025074,9655,10,38.0,41.0,False
1782492000000,0.07750374039532924,10674,10,44.0,41.0,False
1782492300000,0.04145930803193807,9675,10,58.0,41.0,False
1782492600000,0.031373847211066994,11589,10,55.0,40.0,False
1782492900000,0.40976335581867424,6815,9,50.0,40.0,False
1782493200000,0.6769766889417964,2119,7,40.0,39.0,False
1782493500000,0.1430109633220801,97,2,40.0,39.0,False
1782493800000,0.412577570203655,1052,6,35.0,39.0,False
1782494700000,0.7259796574310279,2949,5,43.0,38.0,False
1782495000000,0.5018497593278056,1857,5,41.0,38.0,False
1782553200000,0.7059763623943798,2331,5,33.0,43.0,False
1782553500000,0.0,69,1,30.0,43.0,False
1782554100000,0.5856308346148065,3403,8,23.0,42.0,False
1782554400000,0.30087326669859776,7397,10,27.0,42.0,False
1782554700000,0.07557345622584109,1095,8,26.0,42.0,False
1782555000000,0.01729397547297797,2330,7,19.0,42.0,False
1782555300000,0.20030675416897972,3307,9,23.0,42.0,False
1782555600000,0.0,2,1,24.0,42.0,False
1782556200000,0.16492303510357317,179,2,39.0,42.0,False
1782556500000,0.6954808963177929,7106,10,38.0,42.0,False
1782556800000,0.31792240215242124,4206,9,22.0,42.0,False
1782557100000,0.14411040647830417,1898,6,18.0,42.0,False
1782557400000,0.31006540275792527,4665,10,24.0,42.0,False
1782557700000,0.39265946120850714,2776,7,22.0,42.0,False
1782558000000,0.479517581369689,3296,8,25.0,42.0,False
